Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2025-09-22,M (Jun 2026),0.0000,21.6000,23.9500,0.0000,21.623,0,0,0,0
2025-09-23,M (Jun 2026),21.7500,21.7500,21.7500,21.7500,21.875,0.252,2,0,2
2025-09-24,M (Jun 2026),21.9000,22.0000,21.8000,21.9000,21.825,-0.050,27,0,28
2025-09-25,M (Jun 2026),21.9000,22.0200,21.8500,21.9000,21.775,-0.050,33,0,60
2025-09-26,M (Jun 2026),21.7500,21.8000,21.6000,21.6000,21.55,-0.225,17,0,76
2025-09-29,M (Jun 2026),21.4800,21.6000,21.4800,21.6000,21.575,0.025,40,0,113
2025-09-30,M (Jun 2026),21.6500,21.6500,21.5000,21.5500,21.50,-0.075,15,0,125
2025-10-01,M (Jun 2026),21.5600,21.5600,21.4500,21.4600,21.45,-0.05,151,0,275
2025-10-02,M (Jun 2026),21.4400,21.5000,21.4200,21.5000,21.45,0.00,43,0,310
2025-10-03,M (Jun 2026),21.4500,21.5000,21.4500,21.5000,21.50,0.05,9,0,316
2025-10-06,M (Jun 2026),21.4600,21.6000,21.4600,21.5500,21.55,0.05,25,0,329
2025-10-07,M (Jun 2026),21.5500,21.6500,21.5500,21.6000,21.625,0.075,12,0,332
2025-10-08,M (Jun 2026),21.6000,21.6600,21.5500,21.6600,21.65,0.025,22,0,348
2025-10-09,M (Jun 2026),21.7500,21.7500,21.6900,21.7100,21.70,0.05,36,0,383
2025-10-10,M (Jun 2026),21.7500,22.3000,21.7300,22.2500,22.25,0.55,119,0,444
2025-10-13,M (Jun 2026),22.2500,22.3000,21.7500,21.8000,21.75,-0.50,13,0,450
2025-10-14,M (Jun 2026),22.3500,22.3500,21.7500,21.8000,21.925,0.175,121,0,451
2025-10-15,M (Jun 2026),21.8100,22.2000,21.8100,21.9700,22.00,0.075,10,0,451
2025-10-16,M (Jun 2026),22.0000,22.5400,21.9000,22.3500,22.35,0.35,97,0,530
2025-10-17,M (Jun 2026),22.5000,22.6000,21.9000,21.9500,21.90,-0.45,26,0,536
