Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2026-03-23,Z (Dec 2026),0.0000,17.5000,0.0000,0.0000,23.675,0,0,0,0
2026-03-24,Z (Dec 2026),0.0000,20.6000,24.2500,0.0000,23.8515,0.1765,0,0,0
2026-03-25,Z (Dec 2026),23.5600,23.7000,23.5600,23.6700,23.9496,0.0981,21,0,21
2026-03-26,Z (Dec 2026),22.7000,23.8500,22.7000,23.7000,23.85,-0.0996,60,0,79
2026-03-27,Z (Dec 2026),24.0200,24.2400,23.8500,24.1500,24.075,0.225,36,0,99
2026-03-30,Z (Dec 2026),24.2000,24.2000,24.0000,24.0000,24.05,-0.025,43,0,126
2026-03-31,Z (Dec 2026),23.5000,23.9500,23.3000,23.8500,23.8108,-0.2392,96,0,182
2026-04-01,Z (Dec 2026),23.9500,24.0000,23.6300,23.6300,23.575,-0.2358,118,0,290
