Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2025-07-21,J (Apr 2026),0.0000,18.2500,39.0000,0.0000,22.50,0,0,0,0
2025-07-22,J (Apr 2026),0.0000,20.3000,0.0000,0.0000,22.575,0.075,0,0,0
2025-07-23,J (Apr 2026),22.6000,22.6000,22.5000,22.5000,22.725,0.150,6,0,6
2025-07-24,J (Apr 2026),0.0000,22.1000,23.2500,0.0000,22.05,-0.675,0,0,6
2025-07-25,J (Apr 2026),0.0000,22.0000,22.4000,0.0000,22.20,0.15,0,0,6
2025-07-28,J (Apr 2026),22.2500,22.2500,21.9500,21.9500,21.95,-0.25,35,0,37
2025-07-29,J (Apr 2026),22.1500,22.4000,22.1000,22.4000,22.375,0.425,19,0,55
2025-07-30,J (Apr 2026),22.3000,22.3500,22.2000,22.2500,22.2519,-0.1231,296,0,239
2025-07-31,J (Apr 2026),22.2000,22.2500,22.1900,22.2500,22.30,0.0481,208,0,439
2025-08-01,J (Apr 2026),22.3000,22.6400,22.1500,22.1500,22.2672,-0.0328,380,0,791
2025-08-04,J (Apr 2026),22.2500,22.2500,22.2500,22.2500,22.275,0.0078,2,0,792
2025-08-05,J (Apr 2026),22.1000,22.3500,22.1000,22.3000,22.325,0.050,23,0,795
2025-08-06,J (Apr 2026),0.0000,22.2500,22.3000,0.0000,22.225,-0.100,0,0,795
2025-08-07,J (Apr 2026),22.2000,22.3500,22.2000,22.3500,23.35,1.125,3,0,796
2025-08-08,J (Apr 2026),22.5000,22.5000,22.2800,22.3000,22.40,-0.95,30,0,792
2025-08-11,J (Apr 2026),22.3500,22.3500,22.3500,22.3500,22.325,-0.075,1,0,793
2025-08-12,J (Apr 2026),22.3000,22.3000,22.1500,22.1500,22.175,-0.150,25,0,817
2025-08-13,J (Apr 2026),22.2300,22.2500,22.1000,22.2100,22.225,0.050,50,0,854
2025-08-14,J (Apr 2026),22.2900,22.3400,22.2500,22.3000,22.275,0.050,21,0,864
2025-08-15,J (Apr 2026),22.3700,22.5000,22.2900,22.4500,22.475,0.200,37,0,894
2025-08-18,J (Apr 2026),22.5800,23.0000,22.3000,22.3000,22.40,-0.075,83,0,959
2025-08-19,J (Apr 2026),22.2100,22.3800,22.1500,22.3700,22.325,-0.075,127,0,1022
2025-08-20,J (Apr 2026),22.4900,22.5500,22.3500,22.3900,22.40,0.075,140,0,1149
2025-08-21,J (Apr 2026),22.4000,22.6000,22.4000,22.4500,22.4481,0.0481,153,0,1234
2025-08-22,J (Apr 2026),22.0500,22.4000,21.7000,21.7000,21.675,-0.7731,201,0,1386
2025-08-25,J (Apr 2026),21.7000,21.8000,21.6000,21.8000,21.7557,0.0807,182,0,1491
2025-08-26,J (Apr 2026),21.9000,22.1200,21.8000,21.9000,21.9271,0.1714,183,0,1499
2025-08-27,J (Apr 2026),22.0000,22.0600,21.8900,22.0600,22.05,0.1229,172,0,1583
2025-08-28,J (Apr 2026),22.1800,22.1800,21.8500,21.9500,21.9378,-0.1122,121,0,1649
2025-08-29,J (Apr 2026),21.8900,22.1400,21.8900,22.1200,22.1423,0.2045,104,0,1694
2025-09-02,J (Apr 2026),22.2000,22.4500,22.1400,22.2500,22.3313,0.1890,410,0,1838
2025-09-03,J (Apr 2026),22.3000,22.3000,22.1500,22.1500,22.1918,-0.1395,119,0,1842
2025-09-04,J (Apr 2026),22.1500,22.1500,21.8500,21.8500,21.8766,-0.3152,91,0,1876
2025-09-05,J (Apr 2026),21.8500,22.0100,21.6500,21.9000,21.9148,0.0382,787,0,2172
2025-09-08,J (Apr 2026),21.8500,21.9000,21.8000,21.8000,21.7765,-0.1383,27,0,2179
2025-09-09,J (Apr 2026),21.7900,21.8500,21.6500,21.7000,21.6742,-0.1023,53,0,2174
2025-09-10,J (Apr 2026),21.6000,21.7000,21.5900,21.7000,21.6755,0.0013,284,0,2303
2025-09-11,J (Apr 2026),21.5000,21.6000,21.4600,21.5000,21.475,-0.2005,142,0,2317
2025-09-12,J (Apr 2026),21.4500,21.5000,21.4100,21.5000,21.5192,0.0442,185,0,2266
2025-09-15,J (Apr 2026),21.4900,21.5700,21.4800,21.5500,21.5313,0.0121,222,0,2360
2025-09-16,J (Apr 2026),21.5500,21.7500,21.5500,21.6500,21.7182,0.1869,506,0,2606
2025-09-17,J (Apr 2026),21.6200,21.7000,21.4000,21.4800,21.475,-0.2432,852,0,2592
2025-09-18,J (Apr 2026),21.5000,21.5500,21.4000,21.5000,21.5104,0.0354,399,0,2688
2025-09-19,J (Apr 2026),21.4500,21.5500,21.4300,21.4500,21.50,-0.0104,766,0,2975
2025-09-22,J (Apr 2026),21.4200,21.6500,21.4200,21.5700,21.625,0.125,619,0,3135
2025-09-23,J (Apr 2026),21.5800,21.7600,21.4500,21.6700,21.725,0.100,1207,0,3346
2025-09-24,J (Apr 2026),21.6800,21.8700,21.6000,21.6300,21.65,-0.075,1029,0,3460
2025-09-25,J (Apr 2026),21.6400,21.8700,21.5500,21.7000,21.7258,0.0758,704,0,3630
2025-09-26,J (Apr 2026),21.7000,21.7500,21.3500,21.3700,21.3805,-0.3453,655,0,3702
2025-09-29,J (Apr 2026),21.3500,21.5000,21.2700,21.4500,21.4605,0.0800,780,0,3757
2025-09-30,J (Apr 2026),21.4500,21.6000,21.3900,21.4700,21.45,-0.0105,1011,0,3663
2025-10-01,J (Apr 2026),21.4800,21.5700,21.2900,21.4200,21.375,-0.075,1567,0,3910
2025-10-02,J (Apr 2026),21.3600,21.5000,21.3400,21.4700,21.475,0.100,821,0,3993
2025-10-03,J (Apr 2026),21.4100,21.5500,21.3900,21.4700,21.50,0.025,1243,0,4159
2025-10-06,J (Apr 2026),21.4800,21.5000,21.4000,21.4200,21.4444,-0.0556,487,0,4239
2025-10-07,J (Apr 2026),21.4000,21.6500,21.3700,21.5400,21.5732,0.1288,1095,0,4316
2025-10-08,J (Apr 2026),21.5000,21.7000,21.4000,21.5700,21.6377,0.0645,1333,0,4769
2025-10-09,J (Apr 2026),21.5300,21.7500,21.5000,21.6600,21.675,0.0373,1155,0,4944
2025-10-10,J (Apr 2026),21.7000,22.6000,21.6300,22.6000,22.1764,0.5014,3495,0,5731
2025-10-13,J (Apr 2026),22.3500,22.3500,21.6200,21.7500,21.6838,-0.4926,1330,0,5906
2025-10-14,J (Apr 2026),21.7000,22.3500,21.6300,21.9700,21.9364,0.2526,1971,0,5802
2025-10-15,J (Apr 2026),21.9500,22.2600,21.7500,21.9700,21.9568,0.0204,1029,0,6097
2025-10-16,J (Apr 2026),21.9200,22.5500,21.7500,22.4500,22.4386,0.4818,1345,0,6204
2025-10-17,J (Apr 2026),22.3500,22.7500,21.8500,21.9000,21.90,-0.5386,2333,0,6655
